Date,NoOfCases
2023-03-02,13808
2023-03-03,11395
2023-03-04,10303
2023-03-05,7078
2023-03-06,11032
2023-03-07,11056
2023-03-08,9581
2023-03-09,9093
2023-03-10,8619
2023-03-11,9089
2023-03-12,6574
2023-03-13,10083
2023-03-14,10186
2023-03-15,9060
2023-03-16,8415
2023-03-17,8023
2023-03-18,8416
